Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Tags,Avg Price,Item Qty (incl voids),% of Ttl Qty (incl voids),Gross Amount (incl voids),% of Ttl Amt (incl voids),Item Qty,Gross Amount,Void Qty,Void Amount,Discount Amount,Net Amount,# Orders,% of Ttl # Orders,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
,,,ALL MENUS,,,,,8.7591059602649,906.0,0.0,7935.75,0.0,895.0,7854.25,11.0,81.50,379.84,7474.41,198,0,0,0,0,0,0,0
,,,FOOD,,,,,11.684475703324809,391.0,0.4315673289183223,4568.63,0.5757023595753394,385.0,4523.63,6.0,45.00,244.90,4278.73,128,0.6464646464646465,0,0,0.4301675977653631,0,0,0.5724505345572426
800000011075935831,800000011075935830,,FOOD,Cornetti/Bombolone,,,,3.83,116.0,0.2966751918158568,444.94,0.097390246091279,112.0,429.17,4.0,15.77,6.45,422.72,47,0.3671875,0,0.2909090909090909,0.12513966480446928,0,0.09879567067798156,0.05655563449155185
800000001217284822,800000001217284821,800000011075935831,FOOD,Cornetti/Bombolone,,Almond cornetto,,3.48,11.0,0.09482758620689655,38.28,0.08603407200970918,11.0,38.28,0.0,0.00,0.00,38.28,10,0.2127659574468085,0.09821428571428571,0.02857142857142857,0.012290502793296089,0.09055639666919,0.008946579943113963,0.005121474470894693
800000001217284820,800000001217284819,800000011075935831,FOOD,Cornetti/Bombolone,,Apricot cornetto,,3.48,9.0,0.07758620689655173,31.32,0.07039151346248933,9.0,31.32,0.0,0.00,0.80,30.52,7,0.14893617021276595,0.08035714285714286,0.023376623376623377,0.01005586592178771,0.07219909159727479,0.007132957676693786,0.004083265434997545
800000001217284818,800000001217284817,800000011075935831,FOOD,Cornetti/Bombolone,,chocolate cornetto,,3.48,12.0,0.10344827586206896,41.76,0.0938553512833191,12.0,41.76,0.0,0.00,0.00,41.76,10,0.2127659574468085,0.10714285714285714,0.03116883116883117,0.013407821229050279,0.09878879636638908,0.009759905392487958,0.005587063059157847
800000001217284816,800000001217284815,800000011075935831,FOOD,Cornetti/Bombolone,,Custard cornetto,,3.2399999999999998,5.0,0.04310344827586207,16.20,0.036409403515080686,5.0,16.20,0.0,0.00,0.00,16.20,5,0.10638297872340426,0.044642857142857144,0.012987012987012988,0.00558659217877095,0.038323239969719904,0.003786170195361708,0.0021673951522595096
800000001217284832,800000001217284831,800000011075935831,FOOD,Cornetti/Bombolone,,Custard/Nutella Bombolone,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000011364348633,800000011364348632,800000011075935831,FOOD,Cornetti/Bombolone,,Ham and Cheese,,6.03,15.0,0.12931034482758622,90.45,0.20328583629253383,15.0,90.45,0.0,0.00,2.63,87.82,11,0.23404255319148937,0.13392857142857142,0.03896103896103896,0.01675977653631285,0.20774981074943222,0.0205247818862139,0.011749422362433957
800000009034977538,800000009034977537,800000011075935831,FOOD,Cornetti/Bombolone,,Conchiglia choc,,4.17,6.0,0.05172413793103448,25.02,0.05623230098440239,6.0,25.02,0.0,0.00,0.00,25.02,6,0.1276595744680851,0.05357142857142857,0.015584415584415584,0.0067039106145251395,0.05918811506434519,0.005847529523947527,0.0033474214018230203
800000017495859904,800000017495859903,800000011075935831,FOOD,Cornetti/Bombolone,,Maritozzo,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000001217284842,800000001217284841,800000011075935831,FOOD,Cornetti/Bombolone,,mini bomboloni,,1.71,3.0,0.02586206896551724,5.13,0.011529644446442217,3.0,5.13,0.0,0.00,0.00,5.13,1,0.02127659574468085,0.026785714285714284,0.007792207792207792,0.0033519553072625698,0.01213569265707797,0.0011989538951978742,6.863417982155113E-4
800000001215901531,800000001215961095,800000011075935831,FOOD,Cornetti/Bombolone,,Mini sfogliatella,,1.63,1.0,0.008620689655172414,1.63,0.003663415291949476,1.0,1.63,0.0,0.00,0.00,1.63,1,0.02127659574468085,0.008928571428571428,0.0025974025974025974,0.0011173184357541898,0.0038559803179409533,3.809541616320731E-4,2.1807741346808643E-4
800000001215901525,800000001215961089,800000011075935831,FOOD,Cornetti/Bombolone,,Multigrain Cornetto,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000001939906681,800000001939906680,800000011075935831,FOOD,Cornetti/Bombolone,,Nutella cornetto,,3.48,3.0,0.02586206896551724,10.44,0.023463837820829773,3.0,10.44,0.0,0.00,0.00,10.44,3,0.06382978723404255,0.026785714285714284,0.007792207792207792,0.0033519553072625698,0.02469719909159727,0.0024399763481219895,0.0013967657647894617
800000017495900091,800000017495900090,800000011075935831,FOOD,Cornetti/Bombolone,,Pasticciotto crema e amarena,,3.66,3.0,0.02586206896551724,10.98,0.0246774846046658,3.0,10.98,0.0,0.00,0.00,10.98,3,0.06382978723404255,0.026785714285714284,0.007792207792207792,0.0033519553072625698,0.02597464042392127,0.0025661820213007135,0.0014690122698647788
800000001217284824,800000001217284823,800000011075935831,FOOD,Cornetti/Bombolone,,Pistacchio cornetto,,3.48,12.0,0.10344827586206896,41.76,0.0938553512833191,12.0,41.76,0.0,0.00,0.00,41.76,12,0.2553191489361702,0.10714285714285714,0.03116883116883117,0.013407821229050279,0.09878879636638908,0.009759905392487958,0.005587063059157847
800000001217284830,800000001217284829,800000011075935831,FOOD,Cornetti/Bombolone,,Plain Bombolone,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000001215901522,800000001215961086,800000011075935831,FOOD,Cornetti/Bombolone,,Plain Cornetto,,3.018333333333333,12.0,0.10344827586206896,36.22,0.08140423427877916,12.0,36.22,0.0,0.00,3.02,33.20,8,0.1702127659574468,0.10714285714285714,0.03116883116883117,0.013407821229050279,0.07853898561695685,0.0077593117583956,0.004441822163889859
800000004856655814,800000004856655813,800000011075935831,FOOD,Cornetti/Bombolone,,Saccottino Choc/ Danish,,4.172,5.0,0.04310344827586207,20.86,0.04688272576077673,5.0,20.86,0.0,0.00,0.00,20.86,4,0.0851063829787234,0.044642857142857144,0.012987012987012988,0.00558659217877095,0.04934708554125662,0.004875278412052175,0.0027908557330946523
