Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Tags,Avg Price,Item Qty (incl voids),% of Ttl Qty (incl voids),Gross Amount (incl voids),% of Ttl Amt (incl voids),Item Qty,Gross Amount,Void Qty,Void Amount,Discount Amount,Net Amount,# Orders,% of Ttl # Orders,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
,,,ALL MENUS,,,,,10.117212389380528,678.0000000000002,0.0,6859.47,0.0,672.0000000000002,6822.43,6.0,37.04,278.07,6544.36,163,0,0,0,0,0,0,0
,,,FOOD,,,,,12.989784615384622,324.9999999999999,0.47935103244837723,4221.68,0.6154527973735581,324.9999999999999,4221.68,0.0,0.00,235.70,3985.98,119,0.7300613496932515,0,0,0.48363095238095205,0,0,0.6090710168755998
800000011075935831,800000011075935830,,FOOD,Cornetti/Bombolone,,,,3.94,68.0,0.2092307692307693,267.63,0.06339419378067498,68.0,267.63,0.0,0.00,8.70,258.93,44,0.3697478991596639,0,0.2092307692307693,0.10119047619047615,0,0.06496018545000226,0.03956536620846042
800000001217284822,800000001217284821,800000011075935831,FOOD,Cornetti/Bombolone,,Almond cornetto,,3.4799999999999995,5.0,0.07352941176470588,17.40,0.06501513283264207,5.0,17.40,0.0,0.00,0.00,17.40,5,0.11363636363636363,0.07352941176470588,0.01538461538461539,0.007440476190476188,0.06719962924342486,0.0043653003778242735,0.0026587779400888702
800000001217284820,800000001217284819,800000011075935831,FOOD,Cornetti/Bombolone,,Apricot\strawberry cornetto,,3.4799999999999995,5.0,0.07352941176470588,17.40,0.06501513283264207,5.0,17.40,0.0,0.00,0.00,17.40,5,0.11363636363636363,0.07352941176470588,0.01538461538461539,0.007440476190476188,0.06719962924342486,0.0043653003778242735,0.0026587779400888702
800000001217284818,800000001217284817,800000011075935831,FOOD,Cornetti/Bombolone,,chocolate cornetto,,3.48,6.0,0.08823529411764706,20.88,0.07801815939917049,6.0,20.88,0.0,0.00,0.00,20.88,6,0.13636363636363635,0.08823529411764706,0.018461538461538467,0.008928571428571426,0.08063955509210984,0.005238360453389128,0.0031905335281066445
800000001217284816,800000001217284815,800000011075935831,FOOD,Cornetti/Bombolone,,Custard cornetto,,3.24,3.0,0.04411764705882353,9.72,0.036318798340993164,3.0,9.72,0.0,0.00,0.00,9.72,3,0.06818181818181818,0.04411764705882353,0.009230769230769233,0.004464285714285713,0.03753910323253389,0.002438547107612181,0.0014852483665324036
800000001217284832,800000001217284831,800000011075935831,FOOD,Cornetti/Bombolone,,Custard/Nutella Bombolone,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000011364348633,800000011364348632,800000011075935831,FOOD,Cornetti/Bombolone,,Ham and Cheese,,6.03,8.0,0.11764705882352941,48.24,0.1802488510256698,8.0,48.24,0.0,0.00,0.00,48.24,7,0.1590909090909091,0.11764705882352941,0.024615384615384622,0.0119047619047619,0.18630517900590893,0.012102418978519712,0.007371232633901559
800000009034977538,800000009034977537,800000011075935831,FOOD,Cornetti/Bombolone,,Lobster tail,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
