Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Tags,Avg Price,Item Qty (incl voids),% of Ttl Qty (incl voids),Gross Amount (incl voids),% of Ttl Amt (incl voids),Item Qty,Gross Amount,Void Qty,Void Amount,Discount Amount,Net Amount,# Orders,% of Ttl # Orders,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
,,,ALL MENUS,,,,,10.09462937062936,715.0000000000008,0.0,7217.66,0.0,703.0000000000008,7046.74,12.0,170.92,207.80,6838.94,145,0,0,0,0,0,0,0
,,,FOOD,,,,,13.197866666666668,300.0,0.41958041958041914,3959.36,0.5485656015938684,296.0,3894.44,4.0,64.92,138.93,3755.51,106,0.7310344827586207,0,0,0.4210526315789469,0,0,0.549136269655824
800000011075935831,800000011075935830,,FOOD,Cornetti/Bombolone,,,,3.82,57.0,0.19,217.79,0.05500636466499636,57.0,217.79,0.0,0.00,4.28,213.51,36,0.33962264150943394,0,0.19256756756756757,0.08108108108108099,0,0.056852464778418904,0.031219750429160077
800000001217284822,800000001217284821,800000011075935831,FOOD,Cornetti/Bombolone,,Almond cornetto,,3.48,2.0,0.03508771929824561,6.96,0.03195739014647137,2.0,6.96,0.0,0.00,0.79,6.17,2,0.05555555555555555,0.03508771929824561,0.006756756756756757,0.0028449502133712627,0.028897943890215917,0.0016429193371872261,9.021865961684121E-4
800000001217284820,800000001217284819,800000011075935831,FOOD,Cornetti/Bombolone,,Apricot\strawberry cornetto,,3.48,3.0,0.05263157894736842,10.44,0.047936085219707054,3.0,10.44,0.0,0.00,0.00,10.44,3,0.08333333333333333,0.05263157894736842,0.010135135135135136,0.004267425320056894,0.048897007165940705,0.0027799153776717407,0.0015265523604535206
800000001217284818,800000001217284817,800000011075935831,FOOD,Cornetti/Bombolone,,chocolate cornetto,,3.48,4.0,0.07017543859649122,13.92,0.06391478029294274,4.0,13.92,0.0,0.00,0.00,13.92,4,0.1111111111111111,0.07017543859649122,0.013513513513513514,0.005689900426742525,0.06519600955458761,0.0037065538368956544,0.0020354031472713608
800000001217284816,800000001217284815,800000011075935831,FOOD,Cornetti/Bombolone,,Custard cornetto,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000001217284832,800000001217284831,800000011075935831,FOOD,Cornetti/Bombolone,,Custard/Nutella Bombolone,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000011364348633,800000011364348632,800000011075935831,FOOD,Cornetti/Bombolone,,Ham and Cheese,,6.029999999999999,5.0,0.08771929824561403,30.15,0.13843610817760227,5.0,30.15,0.0,0.00,0.00,30.15,5,0.1388888888888889,0.08771929824561403,0.016891891891891893,0.007112375533428157,0.141211184487846,0.00802820389241408,0.004408577937516632
800000009034977538,800000009034977537,800000011075935831,FOOD,Cornetti/Bombolone,,Lobster tail,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
