Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Tags,Avg Price,Item Qty (incl voids),% of Ttl Qty (incl voids),Gross Amount (incl voids),% of Ttl Amt (incl voids),Item Qty,Gross Amount,Void Qty,Void Amount,Discount Amount,Net Amount,# Orders,% of Ttl # Orders,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
,,,ALL MENUS,,,,,9.303982002249715,889.0000000000003,0.0,8271.24,0.0,884.0000000000003,8193.45,5.0,77.79,215.98,7977.47,196,0,0,0,0,0,0,0
,,,FOOD,,,,,12.344198473282443,393.0,0.44206974128233956,4851.27,0.5865226979267922,390.0,4787.73,3.0,63.54,142.33,4645.40,138,0.7040816326530612,0,0,0.4411764705882351,0,0,0.582314944462342
800000011075935831,800000011075935830,,FOOD,Cornetti/Bombolone,,,,3.84,96.0,0.24427480916030533,368.98,0.07605843418321388,96.0,368.98,0.0,0.00,12.14,356.84,50,0.36231884057971014,0,0.24615384615384617,0.10859728506787326,0,0.07681577474490894,0.04473097360441342
800000001217284822,800000001217284821,800000011075935831,FOOD,Cornetti/Bombolone,,Almond cornetto,,3.48,6.0,0.0625,20.88,0.05658843297739714,6.0,20.88,0.0,0.00,0.00,20.88,6,0.12,0.0625,0.015384615384615385,0.006787330316742079,0.05851361954937787,0.004494769018814311,0.0026173711715619112
800000001217284820,800000001217284819,800000011075935831,FOOD,Cornetti/Bombolone,,Apricot\strawberry cornetto,,3.48,8.0,0.08333333333333333,27.84,0.07545124396986286,8.0,27.84,0.0,0.00,0.72,27.12,7,0.14,0.08333333333333333,0.020512820512820513,0.009049773755656106,0.07600044838022645,0.005838033323287554,0.003399574050419494
800000001217284818,800000001217284817,800000011075935831,FOOD,Cornetti/Bombolone,,chocolate cornetto,,3.4799999999999995,10.0,0.10416666666666667,34.80,0.09431405496232857,10.0,34.80,0.0,0.00,1.50,33.30,8,0.16,0.10416666666666667,0.02564102564102564,0.011312217194570132,0.09331913462616298,0.007168381624833168,0.004174255747749599
800000001217284816,800000001217284815,800000011075935831,FOOD,Cornetti/Bombolone,,Custard cornetto,,3.24,4.0,0.041666666666666664,12.96,0.035123854951487885,4.0,12.96,0.0,0.00,0.00,12.96,3,0.06,0.041666666666666664,0.010256410256410256,0.004524886877828053,0.03631879834099317,0.0027898566323675037,0.0016245752099349794
800000001217284832,800000001217284831,800000011075935831,FOOD,Cornetti/Bombolone,,Custard/Nutella Bombolone,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000011364348633,800000011364348632,800000011075935831,FOOD,Cornetti/Bombolone,,Ham and Cheese,,6.029999999999999,10.0,0.10416666666666667,60.30,0.16342349178817278,10.0,60.30,0.0,0.00,0.00,60.30,9,0.18,0.10416666666666667,0.02564102564102564,0.011312217194570132,0.1689832978365654,0.012980582942265468,0.00755878743511414
800000009034977538,800000009034977537,800000011075935831,FOOD,Cornetti/Bombolone,,Lobster tail,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000017495859904,800000017495859903,800000011075935831,FOOD,Cornetti/Bombolone,,Maritozzo,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000001217284842,800000001217284841,800000011075935831,FOOD,Cornetti/Bombolone,,mini bomboloni,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000001215901531,800000001215961095,800000011075935831,FOOD,Cornetti/Bombolone,,Mini sfogliatella,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000001215901525,800000001215961089,800000011075935831,FOOD,Cornetti/Bombolone,,Multigrain Cornetto,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000001939906681,800000001939906680,800000011075935831,FOOD,Cornetti/Bombolone,,Nutella cornetto,,3.48,2.0,0.020833333333333332,6.96,0.018862810992465714,2.0,6.96,0.0,0.00,0.00,6.96,2,0.04,0.020833333333333332,0.005128205128205128,0.0022624434389140265,0.019504539849792626,0.0014982563396047704,8.724570571873037E-4
800000017495900091,800000017495900090,800000011075935831,FOOD,Cornetti/Bombolone,,Pasticciotto crema e amarena,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000001217284824,800000001217284823,800000011075935831,FOOD,Cornetti/Bombolone,,Pistacchio cornetto,,3.48,7.0,0.07291666666666667,24.36,0.06601983847363001,7.0,24.36,0.0,0.00,1.35,23.01,5,0.1,0.07291666666666667,0.017948717948717947,0.007918552036199091,0.06448268131375408,0.004953287122745082,0.0028843731157873363
800000001217284830,800000001217284829,800000011075935831,FOOD,Cornetti/Bombolone,,Plain Bombolone,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000001215901522,800000001215961086,800000011075935831,FOOD,Cornetti/Bombolone,,Plain Cornetto,,3.0185714285714282,14.0,0.14583333333333334,42.26,0.11453195295137947,14.0,42.26,0.0,0.00,1.24,41.02,10,0.2,0.14583333333333334,0.035897435897435895,0.015837104072398182,0.1149534805515077,0.008830240668187887,0.005141981104284943
800000004856655814,800000004856655813,800000011075935831,FOOD,Cornetti/Bombolone,,Saccottino Choc/ Danish,,4.17,7.0,0.07291666666666667,29.19,0.07910997886064285,7.0,29.19,0.0,0.00,0.00,29.19,6,0.12,0.07291666666666667,0.017948717948717947,0.007918552036199091,0.08180136755969063,0.006283635424290697,0.003659054813117442
800000002431063698,800000002431063697,800000011075935831,FOOD,Cornetti/Bombolone,,Sfogliatella napoletana,,3.941875,16.0,0.16666666666666666,63.07,0.1709306737492547,16.0,63.07,0.0,0.00,1.72,61.35,9,0.18,0.16666666666666666,0.041025641025641026,0.018099547511312212,0.1719257930725255,0.013206612993498946,0.007690408111844983
800000004553931190,800000004553931189,800000011075935831,FOOD,Cornetti/Bombolone,,treccia conchiglia choc/cinnamon roll,,3.9400000000000004,11.0,0.11458333333333333,43.34,0.11745894086400348,11.0,43.34,0.0,0.00,5.61,37.73,9,0.18,0.11458333333333333,0.028205128205128206,0.012443438914027145,0.10573366214549938,0.008122013174322986,0.0047295696505283
800000001215901524,800000001215961088,800000011075935831,FOOD,Cornetti/Bombolone,,Vegan Cornetto,,3.02,1.0,0.010416666666666666,3.02,0.008184725459374492,1.0,3.02,0.0,0.00,0.00,3.02,1,0.02,0.010416666666666666,0.002564102564102564,0.0011312217194570132,0.008463176773904272,6.501054806905757E-4,3.7856613688299674E-4
800000001217218917,800000001217218916,,FOOD,Colazione - Breakfast,,,,11.72,42.0,0.10687022900763359,492.06,0.10142911031544316,42.0,492.06,0.0,0.00,7.30,484.76,23,0.16666666666666666,0,0.1076923076923077,0.047511312217194554,0,0.10435269298661042,0.06076613262099387
800000010351351637,800000010351351636,800000001217218917,FOOD,Colazione - Breakfast,,Crostone Avocado,,13.231052631578947,19.0,0.4523809523809524,251.39,0.5108929805308295,19.0,251.39,0.0,0.00,2.65,248.74,13,0.5652173913043478,0.4523809523809524,0.04871794871794872,0.02149321266968325,0.5131198943807245,0.05354544280363371,0.031180311552409475
800000006756958715,800000006756958714,800000001217218917,FOOD,Colazione - Breakfast,,Omelette,,12.934444444444445,9.0,0.21428571428571427,116.41,0.23657684022273706,9.0,116.41,0.0,0.00,0.00,116.41,7,0.30434782608695654,0.21428571428571427,0.023076923076923078,0.010180995475113119,0.24013945044970708,0.025059198346751625,0.014592345693559486
800000021938987701,800000021938987700,800000001217218917,FOOD,Colazione - Breakfast,,Nutella Crepes,,14.215000000000002,6.0,0.14285714285714285,85.29,0.1733325204243385,6.0,85.29,0.0,0.00,0.00,85.29,6,0.2608695652173913,0.14285714285714285,0.015384615384615385,0.006787330316742079,0.1759427345490552,0.018360098161622252,0.01069135954130821
800000011076332460,800000011076332459,800000001217218917,FOOD,Colazione - Breakfast,,Piadina Crudo,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
