Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Tags,Avg Price,Item Qty (incl voids),% of Ttl Qty (incl voids),Gross Amount (incl voids),% of Ttl Amt (incl voids),Item Qty,Gross Amount,Void Qty,Void Amount,Discount Amount,Net Amount,# Orders,% of Ttl # Orders,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
,,,ALL MENUS,,,,,9.858628571428572,350.0,0.0,3450.52,0.0,347.0,3437.77,3.0,12.75,91.85,3345.92,83,0,0,0,0,0,0,0
,,,FOOD,,,,,12.6511875,160.0,0.45714285714285713,2024.19,0.5866333190359714,160.0,2024.19,0.0,0.00,73.04,1951.15,65,0.7831325301204819,0,0,0.4610951008645533,0,0,0.5831430518362662
800000011075935831,800000011075935830,,FOOD,Cornetti/Bombolone,,,,3.79,37.0,0.23125,140.06,0.06919310934250243,37.0,140.06,0.0,0.00,0.00,140.06,24,0.36923076923076925,0,0.23125,0.10662824207492795,0,0.07178330728032185,0.04185993687834736
800000001217284822,800000001217284821,800000011075935831,FOOD,Cornetti/Bombolone,,Almond cornetto,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000001217284820,800000001217284819,800000011075935831,FOOD,Cornetti/Bombolone,,Apricot\strawberry cornetto,,3.48,1.0,0.02702702702702703,3.48,0.024846494359560187,1.0,3.48,0.0,0.00,0.00,3.48,1,0.041666666666666664,0.02702702702702703,0.00625,0.002881844380403458,0.024846494359560187,0.001783563539451093,0.0010400726855394032
800000001217284818,800000001217284817,800000011075935831,FOOD,Cornetti/Bombolone,,chocolate cornetto,,3.48,4.0,0.10810810810810811,13.92,0.09938597743824075,4.0,13.92,0.0,0.00,0.00,13.92,4,0.16666666666666666,0.10810810810810811,0.025,0.011527377521613832,0.09938597743824075,0.007134254157804372,0.004160290742157613
800000001217284816,800000001217284815,800000011075935831,FOOD,Cornetti/Bombolone,,Custard cornetto,,3.24,4.0,0.10810810810810811,12.96,0.09253177209767242,4.0,12.96,0.0,0.00,0.00,12.96,3,0.125,0.10810810810810811,0.025,0.011527377521613832,0.09253177209767242,0.0066422366296799325,0.0038733741392501914
800000001217284832,800000001217284831,800000011075935831,FOOD,Cornetti/Bombolone,,Custard/Nutella Bombolone,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000011364348633,800000011364348632,800000011075935831,FOOD,Cornetti/Bombolone,,Ham and Cheese,,6.03,4.0,0.10810810810810811,24.12,0.17221190918177925,4.0,24.12,0.0,0.00,0.00,24.12,3,0.125,0.10810810810810811,0.025,0.011527377521613832,0.17221190918177925,0.01236194039412654,0.007208779648048967
800000009034977538,800000009034977537,800000011075935831,FOOD,Cornetti/Bombolone,,Lobster tail,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000017495859904,800000017495859903,800000011075935831,FOOD,Cornetti/Bombolone,,Maritozzo,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000001217284842,800000001217284841,800000011075935831,FOOD,Cornetti/Bombolone,,mini bomboloni,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000001215901531,800000001215961095,800000011075935831,FOOD,Cornetti/Bombolone,,Mini sfogliatella,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000001215901525,800000001215961089,800000011075935831,FOOD,Cornetti/Bombolone,,Multigrain Cornetto,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000001939906681,800000001939906680,800000011075935831,FOOD,Cornetti/Bombolone,,Nutella cornetto,,3.48,1.0,0.02702702702702703,3.48,0.024846494359560187,1.0,3.48,0.0,0.00,0.00,3.48,1,0.041666666666666664,0.02702702702702703,0.00625,0.002881844380403458,0.024846494359560187,0.001783563539451093,0.0010400726855394032
800000017495900091,800000017495900090,800000011075935831,FOOD,Cornetti/Bombolone,,Pasticciotto crema e amarena,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000001217284824,800000001217284823,800000011075935831,FOOD,Cornetti/Bombolone,,Pistacchio cornetto,,3.48,2.0,0.05405405405405406,6.96,0.049692988719120375,2.0,6.96,0.0,0.00,0.00,6.96,2,0.08333333333333333,0.05405405405405406,0.0125,0.005763688760806916,0.049692988719120375,0.003567127078902186,0.0020801453710788064
800000001217284830,800000001217284829,800000011075935831,FOOD,Cornetti/Bombolone,,Plain Bombolone,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000001215901522,800000001215961086,800000011075935831,FOOD,Cornetti/Bombolone,,Plain Cornetto,,3.018333333333333,6.0,0.16216216216216217,18.11,0.1293017278309296,6.0,18.11,0.0,0.00,0.00,18.11,5,0.20833333333333334,0.16216216216216217,0.0375,0.01729106628242075,0.1293017278309296,0.009281705660764163,0.005412562165263963
800000004856655814,800000004856655813,800000011075935831,FOOD,Cornetti/Bombolone,,Saccottino Choc/ Danish,,4.17,3.0,0.08108108108108109,12.51,0.08931886334428102,3.0,12.51,0.0,0.00,0.00,12.51,3,0.125,0.08108108108108109,0.01875,0.008645533141210375,0.08931886334428102,0.006411603413371601,0.0037388819816373373
800000002431063698,800000002431063697,800000011075935831,FOOD,Cornetti/Bombolone,,Sfogliatella napoletana,,3.94,4.0,0.10810810810810811,15.76,0.11252320434099672,4.0,15.76,0.0,0.00,0.00,15.76,4,0.16666666666666666,0.10810810810810811,0.025,0.011527377521613832,0.11252320434099672,0.008077287753376213,0.004710214231063504
800000004553931190,800000004553931189,800000011075935831,FOOD,Cornetti/Bombolone,,treccia conchiglia choc/cinnamon roll,,3.942,5.0,0.13513513513513514,19.71,0.14072540339854347,5.0,19.71,0.0,0.00,0.00,19.71,4,0.16666666666666666,0.13513513513513514,0.03125,0.01440922190201729,0.14072540339854347,0.010101734874304897,0.0058907565034429996
800000001215901524,800000001215961088,800000011075935831,FOOD,Cornetti/Bombolone,,Vegan Cornetto,,3.016666666666667,3.0,0.08108108108108109,9.05,0.06461516492931602,3.0,9.05,0.0,0.00,0.00,9.05,2,0.08333333333333333,0.08108108108108109,0.01875,0.008645533141210375,0.06461516492931602,0.004638290239089768,0.002704786725325172
800000001217218917,800000001217218916,,FOOD,Colazione - Breakfast,,,,8.60,11.0,0.06875,94.62,0.0467446237754361,11.0,94.62,0.0,0.00,9.28,85.34,9,0.13846153846153847,0,0.06875,0.03170028818443804,0,0.04373830817722881,0.02550569051262433
800000011364340243,800000011364340242,800000001217218917,FOOD,Colazione - Breakfast,,cornetto salato and greens,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000010351351637,800000010351351636,800000001217218917,FOOD,Colazione - Breakfast,,Crostone Avocado,,11.13,4.0,0.36363636363636365,44.52,0.4705136334812936,4.0,44.52,0.0,0.00,0.00,44.52,3,0.3333333333333333,0.36363636363636365,0.025,0.011527377521613832,0.5216779939067261,0.02281731286677088,0.013305757459831676
