Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Tags,Avg Price,Item Qty (incl voids),% of Ttl Qty (incl voids),Gross Amount (incl voids),% of Ttl Amt (incl voids),Item Qty,Gross Amount,Void Qty,Void Amount,Discount Amount,Net Amount,# Orders,% of Ttl # Orders,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
,,,ALL MENUS,,,,,7.711666666666666,516.0,0.0,3979.22,0.0,511.0,3957.06,5.0,22.16,54.87,3902.19,109,0,0,0,0,0,0,0
,,,FOOD,,,,,10.045775862068965,232.0,0.4496124031007752,2330.62,0.5856976995491578,230.0,2319.71,2.0,10.91,38.51,2281.20,83,0.7614678899082569,0,0,0.4500978473581213,0,0,0.5845948044559592
800000011075935831,800000011075935830,,FOOD,Cornetti/Bombolone,,,,3.91,77.0,0.33189655172413796,298.51,0.1280817979765041,76.0,296.88,1.0,1.63,1.99,294.89,42,0.5060240963855421,0,0.33043478260869563,0.1487279843444227,0,0.12926968262318078,0.07557038483518229
800000001217284822,800000001217284821,800000011075935831,FOOD,Cornetti/Bombolone,,Almond cornetto,,3.4799999999999995,10.0,0.12987012987012986,34.80,0.11657900907842282,10.0,34.80,0.0,0.00,0.00,34.80,7,0.16666666666666666,0.13157894736842105,0.043478260869565216,0.019569471624266144,0.11801010546305402,0.015255128879537085,0.00891806908428344
800000001217284820,800000001217284819,800000011075935831,FOOD,Cornetti/Bombolone,,Apricot\strawberry cornetto,,3.48,6.0,0.07792207792207792,20.88,0.0699474054470537,6.0,20.88,0.0,0.00,0.00,20.88,3,0.07142857142857142,0.07894736842105263,0.02608695652173913,0.011741682974559686,0.07080606327783241,0.009153077327722251,0.005350841450570064
800000001217284818,800000001217284817,800000011075935831,FOOD,Cornetti/Bombolone,,chocolate cornetto,,3.48,2.0,0.025974025974025976,6.96,0.023315801815684566,2.0,6.96,0.0,0.00,0.00,6.96,2,0.047619047619047616,0.02631578947368421,0.008695652173913044,0.003913894324853229,0.023602021092610805,0.0030510257759074175,0.001783613816856688
800000001217284816,800000001217284815,800000011075935831,FOOD,Cornetti/Bombolone,,Custard cornetto,,3.24,2.0,0.025974025974025976,6.48,0.021707815483568392,2.0,6.48,0.0,0.00,0.00,6.48,2,0.047619047619047616,0.02631578947368421,0.008695652173913044,0.003913894324853229,0.021974295500016956,0.002840610205155182,0.001660605967418296
800000001217284832,800000001217284831,800000011075935831,FOOD,Cornetti/Bombolone,,Custard/Nutella Bombolone,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000011364348633,800000011364348632,800000011075935831,FOOD,Cornetti/Bombolone,,Ham and Cheese,,6.029999999999999,10.0,0.12987012987012986,60.30,0.20200328297209474,10.0,60.30,0.0,0.00,0.00,60.30,10,0.23809523809523808,0.13157894736842105,0.043478260869565216,0.019569471624266144,0.20448302756960224,0.026433456075749606,0.01545286108569803
800000009034977538,800000009034977537,800000011075935831,FOOD,Cornetti/Bombolone,,Lobster tail,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000017495859904,800000017495859903,800000011075935831,FOOD,Cornetti/Bombolone,,Maritozzo,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000001217284842,800000001217284841,800000011075935831,FOOD,Cornetti/Bombolone,,mini bomboloni,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000001215901531,800000001215961095,800000011075935831,FOOD,Cornetti/Bombolone,,Mini sfogliatella,,1.63,1.0,0.012987012987012988,1.63,0.005460453586144518,0.0,0.00,1.0,1.63,0.00,0.00,1,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0
800000001215901525,800000001215961089,800000011075935831,FOOD,Cornetti/Bombolone,,Multigrain Cornetto,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000001939906681,800000001939906680,800000011075935831,FOOD,Cornetti/Bombolone,,Nutella cornetto,,3.48,4.0,0.05194805194805195,13.92,0.04663160363136913,4.0,13.92,0.0,0.00,0.00,13.92,4,0.09523809523809523,0.05263157894736842,0.017391304347826087,0.007827788649706457,0.04720404218522161,0.006102051551814835,0.003567227633713376
800000017495900091,800000017495900090,800000011075935831,FOOD,Cornetti/Bombolone,,Pasticciotto crema e amarena,,3.66,4.0,0.05194805194805195,14.64,0.049043583129543405,4.0,14.64,0.0,0.00,0.00,14.64,4,0.09523809523809523,0.05263157894736842,0.017391304347826087,0.007827788649706457,0.049645630574112386,0.0064176749079431885,0.003751739407870965
800000001217284824,800000001217284823,800000011075935831,FOOD,Cornetti/Bombolone,,Pistacchio cornetto,,3.48,12.0,0.15584415584415584,41.76,0.1398948108941074,12.0,41.76,0.0,0.00,1.99,39.77,11,0.2619047619047619,0.15789473684210525,0.05217391304347826,0.023483365949119372,0.1348638475363695,0.01743380676836753,0.010191712858676795
800000001217284830,800000001217284829,800000011075935831,FOOD,Cornetti/Bombolone,,Plain Bombolone,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000001215901522,800000001215961086,800000011075935831,FOOD,Cornetti/Bombolone,,Plain Cornetto,,3.017777777777778,9.0,0.11688311688311688,27.16,0.09098522662557369,9.0,27.16,0.0,0.00,0.00,27.16,7,0.16666666666666666,0.11842105263157894,0.0391304347826087,0.01761252446183953,0.09210213978093527,0.011906014378397336,0.00696019414738903
800000004856655814,800000004856655813,800000011075935831,FOOD,Cornetti/Bombolone,,Saccottino Choc/ Danish,,4.17076923076923,13.0,0.16883116883116883,54.22,0.18163545609862317,13.0,54.22,0.0,0.00,0.00,54.22,9,0.21428571428571427,0.17105263157894737,0.05652173913043478,0.025440313111545987,0.1838651700634135,0.02376819217955462,0.013894761659478396
800000002431063698,800000002431063697,800000011075935831,FOOD,Cornetti/Bombolone,,Sfogliatella napoletana,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000004553931190,800000004553931189,800000011075935831,FOOD,Cornetti/Bombolone,,treccia conchiglia choc/cinnamon roll,,3.94,4.0,0.05194805194805195,15.76,0.05279555123781448,4.0,15.76,0.0,0.00,0.00,15.76,4,0.09523809523809523,0.05263157894736842,0.017391304347826087,0.007827788649706457,0.05344365695683136,0.006908644573031738,0.004038757723227213
800000001215901524,800000001215961088,800000011075935831,FOOD,Cornetti/Bombolone,,Vegan Cornetto,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000001217218917,800000001217218916,,FOOD,Colazione - Breakfast,,,,8.69,46.0,0.19827586206896552,400.28,0.17174829015455115,45.0,391.00,1.0,9.28,5.42,385.58,22,0.26506024096385544,0,0.1956521739130435,0.08806262230919765,0,0.16902507452218132,0.09881118038844854
800000011364340243,800000011364340242,800000001217218917,FOOD,Colazione - Breakfast,,cornetto salato and greens,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000010351351637,800000010351351636,800000001217218917,FOOD,Colazione - Breakfast,,Crostone Avocado,,11.24,17.0,0.3695652173913043,191.08,0.47736584390926357,16.0,181.80,1.0,9.28,0.00,181.80,12,0.5454545454545454,0.35555555555555557,0.06956521739130435,0.03131115459882583,0.4714974843093522,0.07969489742240927,0.04658922297479108
800000006756958715,800000006756958714,800000001217218917,FOOD,Colazione - Breakfast,,Omelette,,9.279333333333334,15.0,0.32608695652173914,139.19,0.3477315878884781,15.0,139.19,0.0,0.00,0.00,139.19,12,0.5454545454545454,0.3333333333333333,0.06521739130434782,0.029354207436399216,0.36098864048965196,0.061016131860424344,0.035669713673603796
800000011076332460,800000011076332459,800000001217218917,FOOD,Colazione - Breakfast,,Piadina Crudo,,13.0,1.0,0.021739130434782608,13.00,0.0324772659138603,1.0,13.00,0.0,0.00,0.00,13.00,1,0.045454545454545456,0.022222222222222223,0.004347826086956522,0.0019569471624266144,0.033715441672285906,0.005698755041206383,0.0033314625889564577
800000011076332458,800000011076332457,800000001217218917,FOOD,Colazione - Breakfast,,Piadina Ham & Cheese,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000011076332456,800000011076332455,800000001217218917,FOOD,Colazione - Breakfast,,Piadina Nutella,,6.96,1.0,0.021739130434782608,6.96,0.017387828520035977,1.0,6.96,0.0,0.00,0.00,6.96,1,0.045454545454545456,0.022222222222222223,0.004347826086956522,0.0019569471624266144,0.018050728772239226,0.0030510257759074175,0.001783613816856688
800000010351360436,800000010351360435,800000001217218917,FOOD,Colazione - Breakfast,,Side Roasted Potatoes,,4.170833333333333,12.0,0.2608695652173913,50.05,0.12503747376836216,12.0,50.05,0.0,0.00,5.42,44.63,10,0.45454545454545453,0.26666666666666666,0.05217391304347826,0.023483365949119372,0.11574770475647078,0.019564264422233916,0.011437167334240517
