Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Tags,Avg Price,Item Qty (incl voids),% of Ttl Qty (incl voids),Gross Amount (incl voids),% of Ttl Amt (incl voids),Item Qty,Gross Amount,Void Qty,Void Amount,Discount Amount,Net Amount,# Orders,% of Ttl # Orders,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
,,,ALL MENUS,,,,,7.223706666666667,375.0,0.0,2708.89,0.0,372.0,2678.41,3.0,30.48,125.31,2553.10,116,0,0,0,0,0,0,0
,,,FOOD,,,,,9.746818181818181,132.0,0.352,1286.58,0.4749473031389241,131.0,1283.10,1.0,3.48,95.54,1187.56,71,0.6120689655172413,0,0,0.3521505376344086,0,0,0.4651443343386471
800000011075935831,800000011075935830,,FOOD,Cornetti/Bombolone,,,,3.93,54.0,0.4090909090909091,211.87,0.16467689533491894,53.0,208.39,1.0,3.48,6.63,201.76,33,0.4647887323943662,0,0.40458015267175573,0.1424731182795699,0,0.16989457374785275,0.07902549841369316
800000001217284822,800000001217284821,800000011075935831,FOOD,Cornetti/Bombolone,,Almond cornetto,,3.48,3.0,0.05555555555555555,10.44,0.049275499126823046,3.0,10.44,0.0,0.00,0.00,10.44,3,0.09090909090909091,0.05660377358490566,0.022900763358778626,0.008064516129032258,0.051744647105471844,0.008791134763717201,0.004089146527750578
800000001217284820,800000001217284819,800000011075935831,FOOD,Cornetti/Bombolone,,Apricot\strawberry cornetto,,3.48,4.0,0.07407407407407407,13.92,0.06570066550243073,4.0,13.92,0.0,0.00,0.00,13.92,4,0.12121212121212122,0.07547169811320754,0.030534351145038167,0.010752688172043012,0.0689928628072958,0.011721513018289602,0.005452195370334104
800000001217284818,800000001217284817,800000011075935831,FOOD,Cornetti/Bombolone,,chocolate cornetto,,3.48,6.0,0.1111111111111111,20.88,0.09855099825364609,5.0,17.40,1.0,3.48,0.00,17.40,5,0.15151515151515152,0.09433962264150944,0.03816793893129771,0.013440860215053764,0.08624107850911975,0.014651891272862002,0.0068152442129176295
800000001217284816,800000001217284815,800000011075935831,FOOD,Cornetti/Bombolone,,Custard cornetto,,3.24,1.0,0.018518518518518517,3.24,0.01529239628073819,1.0,3.24,0.0,0.00,0.00,3.24,1,0.030303030303030304,0.018867924528301886,0.007633587786259542,0.002688172043010753,0.016058683584456782,0.002728283202532925,0.0012690454741294897
800000001217284832,800000001217284831,800000011075935831,FOOD,Cornetti/Bombolone,,Custard/Nutella Bombolone,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000011364348633,800000011364348632,800000011075935831,FOOD,Cornetti/Bombolone,,Ham and Cheese,,6.03,7.0,0.12962962962962962,42.21,0.1992259404351725,7.0,42.21,0.0,0.00,6.03,36.18,6,0.18181818181818182,0.1320754716981132,0.05343511450381679,0.01881720430107527,0.17932196669310072,0.030465829094950995,0.014171007794445968
800000009034977538,800000009034977537,800000011075935831,FOOD,Cornetti/Bombolone,,Lobster tail,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000017495859904,800000017495859903,800000011075935831,FOOD,Cornetti/Bombolone,,Maritozzo,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000001217284842,800000001217284841,800000011075935831,FOOD,Cornetti/Bombolone,,mini bomboloni,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000001215901531,800000001215961095,800000011075935831,FOOD,Cornetti/Bombolone,,Mini sfogliatella,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000001215901525,800000001215961089,800000011075935831,FOOD,Cornetti/Bombolone,,Multigrain Cornetto,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000001939906681,800000001939906680,800000011075935831,FOOD,Cornetti/Bombolone,,Nutella cornetto,,3.48,3.0,0.05555555555555555,10.44,0.049275499126823046,3.0,10.44,0.0,0.00,0.00,10.44,3,0.09090909090909091,0.05660377358490566,0.022900763358778626,0.008064516129032258,0.051744647105471844,0.008791134763717201,0.004089146527750578
800000017495900091,800000017495900090,800000011075935831,FOOD,Cornetti/Bombolone,,Pasticciotto crema e amarena,,3.66,2.0,0.037037037037037035,7.32,0.03454948789351961,2.0,7.32,0.0,0.00,0.00,7.32,2,0.06060606060606061,0.03773584905660377,0.015267175572519083,0.005376344086021506,0.036280729579698655,0.006163899087204015,0.0028671027378481062
800000001217284824,800000001217284823,800000011075935831,FOOD,Cornetti/Bombolone,,Pistacchio cornetto,,3.48,4.0,0.07407407407407407,13.92,0.06570066550243073,4.0,13.92,0.0,0.00,0.00,13.92,4,0.12121212121212122,0.07547169811320754,0.030534351145038167,0.010752688172043012,0.0689928628072958,0.011721513018289602,0.005452195370334104
800000001217284830,800000001217284829,800000011075935831,FOOD,Cornetti/Bombolone,,Plain Bombolone,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
800000001215901522,800000001215961086,800000011075935831,FOOD,Cornetti/Bombolone,,Plain Cornetto,,3.018,5.0,0.09259259259259259,15.09,0.07122291971491952,5.0,15.09,0.0,0.00,0.60,14.49,3,0.09090909090909091,0.09433962264150944,0.03816793893129771,0.013440860215053764,0.07181800158604283,0.012201488766883359,0.00567545337041244
