Order #,Order Date,Menu Item,Menu Subgroup(s),Menu Group,Menu,Net Price,Qty,Void?,Deferred
1,5/21/24 8:01 AM,Americano,,Espresso Bar,BEVERAGES,4.00,1.0,false,false
2,5/21/24 8:02 AM,Plain Cornetto,,Cornetti/Bombolone,FOOD,3.02,1.0,false,false
3,5/21/24 8:15 AM,Espresso doppio macchiato,,Espresso Bar,BEVERAGES,15.00,4.0,false,false
4,5/21/24 8:23 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.75,1.0,false,false
4,5/21/24 8:23 AM,Espresso Quarta,,Espresso Bar,BEVERAGES,3.00,1.0,false,false
4,5/21/24 8:23 AM,Nutella cornetto,,Cornetti/Bombolone,FOOD,6.96,2.0,false,false
5,5/21/24 8:25 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,5.25,1.0,false,false
6,5/21/24 8:26 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
6,5/21/24 8:26 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
3,5/21/24 8:15 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.75,1.0,false,false
3,5/21/24 8:15 AM,Cappuccino,,Espresso Bar,BEVERAGES,5.25,1.0,false,false
3,5/21/24 8:15 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,false
3,5/21/24 8:15 AM,Nutella cornetto,,Cornetti/Bombolone,FOOD,3.48,1.0,false,false
3,5/21/24 8:15 AM,Ham and Cheese,,Cornetti/Bombolone,FOOD,6.50,1.0,false,false
7,5/21/24 8:35 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,4.75,1.0,false,false
7,5/21/24 8:35 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,5.25,1.0,false,false
9,5/21/24 8:51 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,false
6,5/21/24 8:26 AM,L'ITALIANO,,Panini,FOOD,9.28,1.0,false,false
10,5/21/24 8:58 AM,Mokaccino,,Espresso Bar,BEVERAGES,3.75,1.0,false,false
10,5/21/24 8:58 AM,Mokaccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
11,5/21/24 8:59 AM,Americano,,Espresso Bar,BEVERAGES,4.00,1.0,false,false
11,5/21/24 8:59 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,false
13,5/21/24 9:02 AM,Hot Italian Tea,,Espresso Bar,BEVERAGES,2.50,1.0,false,false
13,5/21/24 9:02 AM,Hot Italian Tea,,Espresso Bar,BEVERAGES,2.50,1.0,true,false
13,5/21/24 9:02 AM,Ham and Cheese,,Cornetti/Bombolone,FOOD,6.50,1.0,false,false
14,5/21/24 9:10 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
14,5/21/24 9:10 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
14,5/21/24 9:10 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,8.35,2.0,false,false
15,5/21/24 9:13 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,2.37,0.5,false,false
15,5/21/24 9:13 AM,Cappuccino,,Espresso Bar,BEVERAGES,2.37,0.5,false,false
15,5/21/24 9:13 AM,Cappuccino,,Espresso Bar,BEVERAGES,2.12,0.5,false,false
15,5/21/24 9:13 AM,NAPULÈ,,Panini,FOOD,5.57,0.5,false,false
15,5/21/24 9:13 AM,VA PENSIERO,,Panini,FOOD,5.57,0.5,false,false
15,5/21/24 9:13 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,2.09,0.5,false,false
13,5/21/24 9:02 AM,Americano,,Espresso Bar,BEVERAGES,4.00,1.0,false,false
16,5/21/24 9:25 AM,Americano,,Espresso Bar,BEVERAGES,4.00,1.0,false,false
17,5/21/24 9:26 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
17,5/21/24 9:26 AM,Sfogliatella napoletana,,Cornetti/Bombolone,FOOD,3.48,1.0,false,false
18,5/21/24 9:26 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
18,5/21/24 9:26 AM,SLICE CAKE,,BAKERY DISPLAY,RETAIL,6.50,1.0,false,false
18,5/21/24 9:26 AM,Diet Coke -draft,,Non-Alcoholic,BEVERAGES,2.50,1.0,false,false
18,5/21/24 9:26 AM,treccia choc/cinnamon roll,,Cornetti/Bombolone,FOOD,3.94,1.0,false,false
18,5/21/24 9:26 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
18,5/21/24 9:26 AM,Sfogliatella napoletana,,Cornetti/Bombolone,FOOD,3.48,1.0,false,false
18,5/21/24 9:26 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
18,5/21/24 9:26 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,false
18,5/21/24 9:26 AM,Diet Coke -draft,,Non-Alcoholic,BEVERAGES,2.50,1.0,false,false
18,5/21/24 9:26 AM,Sfogliatella napoletana,,Cornetti/Bombolone,FOOD,3.48,1.0,false,false
18,5/21/24 9:26 AM,Diet Coke -draft,,Non-Alcoholic,BEVERAGES,2.50,1.0,false,false
18,5/21/24 9:26 AM,treccia choc/cinnamon roll,,Cornetti/Bombolone,FOOD,3.94,1.0,false,false
16,5/21/24 9:25 AM,SINGLE SERVING glass coppa,,BAKERY DISPLAY,RETAIL,8.50,1.0,false,false
16,5/21/24 9:25 AM,Single serving desserts,,BAKERY DISPLAY,RETAIL,6.50,1.0,false,false
16,5/21/24 9:25 AM,traditional biscotto mix,,BAKERY DISPLAY,RETAIL,5.00,1.0,false,false
16,5/21/24 9:25 AM,CANNOLO SICILIANO,,BAKERY DISPLAY,RETAIL,4.50,1.0,false,false
19,5/21/24 9:31 AM,Americano,,Espresso Bar,BEVERAGES,4.00,1.0,false,false
19,5/21/24 9:31 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,9.00,2.0,false,false
20,5/21/24 9:32 AM,VA PENSIERO,,Panini,FOOD,11.13,1.0,false,false
20,5/21/24 9:32 AM,NAPULÈ,,Panini,FOOD,11.13,1.0,false,false
20,5/21/24 9:32 AM,Roasted Potatoes,,Colazione - Breakfast,FOOD,4.17,1.0,false,false
20,5/21/24 9:32 AM,Roasted Potatoes,,Colazione - Breakfast,FOOD,4.17,1.0,false,false
20,5/21/24 9:32 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
