Order #,Order Date,Menu Item,Menu Subgroup(s),Menu Group,Menu,Net Price,Qty,Void?,Deferred
83,4/10/2024 13:34,Bolognese,,Aperitivo - Dinner,FOOD,18.55,1,FALSE,FALSE
21,4/10/2024 9:35,BABA,,BAKERY DISPLAY,RETAIL,6.5,1,FALSE,FALSE
64,4/10/2024 12:51,Key lime,,BAKERY DISPLAY,RETAIL,8.5,1,FALSE,FALSE
67,4/10/2024 12:56,Occhio di bue/custard Cookie,,BAKERY DISPLAY,RETAIL,14,4,FALSE,FALSE
58,4/10/2024 12:38,PROFITTEROLES,,BAKERY DISPLAY,RETAIL,6.5,1,FALSE,FALSE
59,4/10/2024 12:42,PROFITTEROLES,,BAKERY DISPLAY,RETAIL,6.5,1,FALSE,FALSE
84,4/10/2024 13:36,SINGLE SERVING glass coppa,,BAKERY DISPLAY,RETAIL,8.5,1,FALSE,FALSE
75,4/10/2024 13:21,Tartufo Gelato,,BAKERY DISPLAY,RETAIL,19.5,3,FALSE,FALSE
92,4/10/2024 13:57,SLICE CAKE,,BAKERY DISPLAY,RETAIL,6.5,1,FALSE,FALSE
92,4/10/2024 13:57,SINGLE SERVING glass coppa,,BAKERY DISPLAY,RETAIL,8.5,1,FALSE,FALSE
99,4/10/2024 14:47,SINGLE SERVING glass coppa,,BAKERY DISPLAY,RETAIL,8.5,1,FALSE,FALSE
60,4/10/2024 12:43,Beer Peroni - Draft,,Beer,BEVERAGES,7,1,FALSE,FALSE
71,4/10/2024 13:13,Beer Peroni - Draft,,Beer,BEVERAGES,7,1,FALSE,FALSE
71,4/10/2024 13:13,Beer Peroni - Draft,,Beer,BEVERAGES,7,1,FALSE,FALSE
3,4/10/2024 8:17,Cornetto Salato,,Colazione - Breakfast,FOOD,8.35,1,FALSE,FALSE
3,4/10/2024 8:17,plain cornetto,,Colazione - Breakfast,FOOD,3.02,1,FALSE,FALSE
4,4/10/2024 8:19,Cornetto Salato,,Colazione - Breakfast,FOOD,8.35,1,FALSE,FALSE
5,4/10/2024 8:20,Saccottino Choc/ Danish,,Colazione - Breakfast,FOOD,4.17,1,FALSE,FALSE
5,4/10/2024 8:20,Cornetto Salato,,Colazione - Breakfast,FOOD,8.35,1,FALSE,FALSE
6,4/10/2024 8:23,plain cornetto,,Colazione - Breakfast,FOOD,3.02,1,FALSE,FALSE
7,4/10/2024 8:28,Frittata,,Colazione - Breakfast,FOOD,8.35,1,FALSE,FALSE
7,4/10/2024 8:28,Cornetto Salato,,Colazione - Breakfast,FOOD,16.7,2,FALSE,FALSE
8,4/10/2024 8:32,Saccottino Choc/ Danish,,Colazione - Breakfast,FOOD,4.17,1,FALSE,FALSE
10,4/10/2024 8:43,Cornetto Salato,,Colazione - Breakfast,FOOD,8.35,1,FALSE,FALSE
10,4/10/2024 8:43,Sfogliatella napoletana,,Colazione - Breakfast,FOOD,3.48,1,FALSE,FALSE
10,4/10/2024 8:43,Saccottino Choc/ Danish,,Colazione - Breakfast,FOOD,4.17,1,FALSE,FALSE
12,4/10/2024 8:47,plain cornetto,,Colazione - Breakfast,FOOD,6.03,2,FALSE,FALSE
13,4/10/2024 8:50,cornetto vegan/multigrain,,Colazione - Breakfast,FOOD,3.24,1,FALSE,FALSE
13,4/10/2024 8:50,plain cornetto,,Colazione - Breakfast,FOOD,3.02,1,FALSE,FALSE
15,4/10/2024 9:00,Loaf Cake\cinnamon roll,,Colazione - Breakfast,FOOD,3.94,1,FALSE,FALSE
15,4/10/2024 9:00,Saccottino Choc/ Danish,,Colazione - Breakfast,FOOD,4.17,1,FALSE,FALSE
16,4/10/2024 9:06,Frittata,,Colazione - Breakfast,FOOD,8.35,1,FALSE,FALSE
16,4/10/2024 9:06,Frittata,,Colazione - Breakfast,FOOD,8.35,1,FALSE,FALSE
16,4/10/2024 9:06,Frittata,,Colazione - Breakfast,FOOD,8.35,1,FALSE,FALSE
16,4/10/2024 9:06,Nutella cornetto,,Colazione - Breakfast,FOOD,1.16,0.333333333,FALSE,FALSE
18,4/10/2024 9:13,Cornetto Salato,,Colazione - Breakfast,FOOD,8.35,1,FALSE,FALSE
18,4/10/2024 9:13,Sfogliatella napoletana,,Colazione - Breakfast,FOOD,3.48,1,FALSE,FALSE
18,4/10/2024 9:13,bombolone custard/nutella,,Colazione - Breakfast,FOOD,3.48,1,FALSE,FALSE
20,4/10/2024 9:33,chocolate cornetto,,Colazione - Breakfast,FOOD,3.48,1,FALSE,FALSE
23,4/10/2024 9:40,Apricot\strawberry cornetto,,Colazione - Breakfast,FOOD,6.96,2,FALSE,FALSE
23,4/10/2024 9:40,Sfogliatella napoletana,,Colazione - Breakfast,FOOD,6.96,2,FALSE,FALSE
24,4/10/2024 9:44,plain cornetto,,Colazione - Breakfast,FOOD,3.02,1,FALSE,FALSE
25,4/10/2024 9:45,Loaf Cake\cinnamon roll,,Colazione - Breakfast,FOOD,3.94,1,FALSE,FALSE
25,4/10/2024 9:45,Saccottino Choc/ Danish,,Colazione - Breakfast,FOOD,4.17,1,FALSE,FALSE
16,4/10/2024 9:06,Nutella cornetto,,Colazione - Breakfast,FOOD,1.16,0.333333333,FALSE,FALSE
16,4/10/2024 9:06,Nutella cornetto,,Colazione - Breakfast,FOOD,1.16,0.333333333,FALSE,FALSE
31,4/10/2024 10:06,Saccottino Choc/ Danish,,Colazione - Breakfast,FOOD,4.17,1,FALSE,FALSE
34,4/10/2024 10:27,Cornetto Salato,,Colazione - Breakfast,FOOD,8.35,1,FALSE,FALSE
34,4/10/2024 10:27,Saccottino Choc/ Danish,,Colazione - Breakfast,FOOD,4.17,1,FALSE,FALSE
43,4/10/2024 11:11,Frittata,,Colazione - Breakfast,FOOD,8.35,1,FALSE,FALSE
38,4/10/2024 11:00,Saccottino Choc/ Danish,,Colazione - Breakfast,FOOD,4.17,1,FALSE,FALSE
38,4/10/2024 11:00,Loaf Cake\cinnamon roll,,Colazione - Breakfast,FOOD,3.94,1,FALSE,FALSE
40,4/10/2024 11:06,Loaf Cake\cinnamon roll,,Colazione - Breakfast,FOOD,3.94,1,FALSE,FALSE
40,4/10/2024 11:06,Sfogliatella napoletana,,Colazione - Breakfast,FOOD,3.48,1,FALSE,FALSE
40,4/10/2024 11:06,cornetto vegan/multigrain,,Colazione - Breakfast,FOOD,9.74,3,FALSE,FALSE
