Order #,Order Date,Menu Item,Menu Subgroup(s),Menu Group,Menu,Net Price,Qty,Void?,Deferred
1,5/8/24 8:01 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
2,5/8/24 8:04 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,false
3,5/8/24 8:04 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,5.75,1.0,false,false
3,5/8/24 8:04 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,8.35,2.0,false,false
4,5/8/24 8:08 AM,Americano,,Espresso Bar,BEVERAGES,4.00,1.0,false,false
4,5/8/24 8:08 AM,Hot Italian Tea,,Espresso Bar,BEVERAGES,2.50,1.0,false,false
5,5/8/24 8:22 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
5,5/8/24 8:22 AM,Espresso Macchiato,,Espresso Bar,BEVERAGES,3.25,1.0,false,false
5,5/8/24 8:22 AM,Loaf Cake\cinnamon roll,,Cornetti/Bombolone,FOOD,3.94,1.0,false,false
6,5/8/24 8:25 AM,Espresso doppio macchiato,,Espresso Bar,BEVERAGES,3.75,1.0,false,false
6,5/8/24 8:25 AM,Cappuccino,,Espresso Bar,BEVERAGES,5.25,1.0,false,false
6,5/8/24 8:25 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.75,1.0,false,false
6,5/8/24 8:25 AM,Ham and Cheese,,Cornetti/Bombolone,FOOD,6.50,1.0,false,false
6,5/8/24 8:25 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,false
7,5/8/24 8:27 AM,Cappuccino,,Espresso Bar,BEVERAGES,0.00,1.0,false,false
7,5/8/24 8:27 AM,L'ITALIANO,,Panini,FOOD,9.28,1.0,false,false
8,5/8/24 8:37 AM,Espresso doppio-double espresso,,Espresso Bar,BEVERAGES,3.50,1.0,false,false
4,5/8/24 8:08 AM,Americano,,Espresso Bar,BEVERAGES,4.00,1.0,false,false
4,5/8/24 8:08 AM,Frittata,,Colazione - Breakfast,FOOD,8.35,1.0,false,false
10,5/8/24 9:07 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,4.75,1.0,false,false
10,5/8/24 9:07 AM,Sfogliatella napoletana,,Cornetti/Bombolone,FOOD,3.48,1.0,false,false
11,5/8/24 9:09 AM,Plain Cornetto,,Cornetti/Bombolone,FOOD,6.03,2.0,false,false
11,5/8/24 9:09 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,false
11,5/8/24 9:09 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,5.00,1.0,false,false
11,5/8/24 9:09 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,5.00,1.0,false,false
