Order #,Order Date,Menu Item,Menu Subgroup(s),Menu Group,Menu,Net Price,Qty,Void?,Deferred
1,4/26/24 8:01 AM,Americano,,Espresso Bar,BEVERAGES,4.00,1.0,false,false
1,4/26/24 8:01 AM,Crostone Avocado,,Colazione - Breakfast,FOOD,10.20,1.0,false,false
2,4/26/24 8:04 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
3,4/26/24 8:14 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
3,4/26/24 8:14 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,false
3,4/26/24 8:14 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
4,4/26/24 8:16 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,false
4,4/26/24 8:16 AM,L'ITALIANO,,Panini,FOOD,9.28,1.0,false,false
4,4/26/24 8:16 AM,Cappuccino,,Espresso Bar,BEVERAGES,8.50,2.0,false,false
5,4/26/24 8:16 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,4.50,1.0,false,false
6,4/26/24 8:18 AM,Espresso doppio macchiato,,Espresso Bar,BEVERAGES,3.75,1.0,false,false
6,4/26/24 8:18 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.78,1.0,false,false
6,4/26/24 8:18 AM,Cornetto Salato,,Colazione - Breakfast,FOOD,6.73,1.0,false,false
6,4/26/24 8:18 AM,Espresso Macchiato,,Espresso Bar,BEVERAGES,3.27,1.0,false,false
6,4/26/24 8:18 AM,Sfogliatella napoletana,,Cornetti/Bombolone,FOOD,3.51,1.0,false,false
7,4/26/24 8:29 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
2,4/26/24 8:04 AM,Americano,,Espresso Bar,BEVERAGES,4.00,1.0,false,false
8,4/26/24 8:30 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,8.35,2.0,false,false
8,4/26/24 8:30 AM,Americano,,Espresso Bar,BEVERAGES,4.00,1.0,false,false
9,4/26/24 8:45 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
9,4/26/24 8:45 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,false
10,4/26/24 8:46 AM,Americano,,Espresso Bar,BEVERAGES,5.00,1.0,false,false
10,4/26/24 8:46 AM,Cornetto Salato,,Colazione - Breakfast,FOOD,6.81,1.0,false,false
