Order #,Order Date,Menu Item,Menu Subgroup(s),Menu Group,Menu,Net Price,Qty,Void?,Deferred
1,5/7/24 8:06 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
2,5/7/24 8:07 AM,Mokaccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
2,5/7/24 8:07 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,5.25,1.0,false,false
3,5/7/24 8:09 AM,Espresso Quarta,,Espresso Bar,BEVERAGES,3.00,1.0,false,false
3,5/7/24 8:09 AM,Nutella cornetto,,Cornetti/Bombolone,FOOD,3.48,1.0,false,false
4,5/7/24 8:15 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
4,5/7/24 8:15 AM,Multigrain Cornetto,,Cornetti/Bombolone,FOOD,3.02,1.0,true,false
4,5/7/24 8:15 AM,Apricot\strawberry cornetto,,Cornetti/Bombolone,FOOD,3.48,1.0,true,false
5,5/7/24 8:18 AM,Espresso doppio macchiato,,Espresso Bar,BEVERAGES,3.75,1.0,false,false
4,5/7/24 8:15 AM,Plain Bombolone,,Cornetti/Bombolone,FOOD,3.24,1.0,false,false
4,5/7/24 8:15 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,false
6,5/7/24 8:19 AM,Gift Card,,,,25.00,1.0,false,true
7,5/7/24 8:22 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.75,1.0,false,false
7,5/7/24 8:22 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.75,1.0,false,false
7,5/7/24 8:22 AM,Nutella cornetto,,Cornetti/Bombolone,FOOD,3.48,1.0,false,false
7,5/7/24 8:22 AM,Loaf Cake\cinnamon roll,,Cornetti/Bombolone,FOOD,3.94,1.0,false,false
8,5/7/24 8:22 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,5.00,1.0,false,false
10,5/7/24 8:24 AM,N.S. della Neve - G.D. Vajra,,RETAIL WINE,RETAIL,38.00,1.0,false,false
10,5/7/24 8:24 AM,Maglio Jam Marmellata,,MARKET,RETAIL,14.00,1.0,false,false
10,5/7/24 8:24 AM,Maglio Choc flavored bar Tavoletta,,MARKET,RETAIL,14.75,1.0,false,false
10,5/7/24 8:24 AM,Quarta Caffe Classico,,MARKET,RETAIL,10.00,1.0,false,false
10,5/7/24 8:24 AM,VV Tarallini\Friselline,,MARKET,RETAIL,4.99,1.0,false,false
11,5/7/24 8:26 AM,NESSUN DORMA,,Panini,FOOD,11.13,1.0,false,false
11,5/7/24 8:26 AM,Cappuccino,,Espresso Bar,BEVERAGES,0.00,1.0,false,false
10,5/7/24 8:24 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
5,5/7/24 8:18 AM,Mokaccino,,Espresso Bar,BEVERAGES,4.50,1.0,false,false
