Order #,Order Date,Menu Item,Menu Subgroup(s),Menu Group,Menu,Net Price,Qty,Void?,Deferred
1,5/11/24 8:02 AM,Americano,,Espresso Bar,BEVERAGES,4.50,1.0,false,false
1,5/11/24 8:02 AM,Sfogliatella napoletana,,Cornetti/Bombolone,FOOD,3.48,1.0,false,false
2,5/11/24 8:04 AM,Espresso doppio macchiato,,Espresso Bar,BEVERAGES,3.75,1.0,false,false
2,5/11/24 8:04 AM,Espresso doppio macchiato,,Espresso Bar,BEVERAGES,3.75,1.0,false,false
2,5/11/24 8:04 AM,Mokaccino,,Espresso Bar,BEVERAGES,4.00,1.0,false,false
3,5/11/24 8:07 AM,Americano,,Espresso Bar,BEVERAGES,4.00,1.0,false,false
3,5/11/24 8:07 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
4,5/11/24 8:15 AM,Cappuccino,,Espresso Bar,BEVERAGES,2.00,1.0,false,false
4,5/11/24 8:15 AM,Single serving desserts,,BAKERY DISPLAY,RETAIL,3.05,1.0,false,false
5,5/11/24 8:17 AM,Plain Cornetto,,Cornetti/Bombolone,FOOD,3.02,1.0,false,false
5,5/11/24 8:17 AM,chocolate cornetto,,Cornetti/Bombolone,FOOD,6.96,2.0,false,false
7,5/11/24 8:24 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
7,5/11/24 8:24 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
8,5/11/24 8:28 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,12.52,3.0,false,false
8,5/11/24 8:28 AM,Loaf Cake\cinnamon roll,,Cornetti/Bombolone,FOOD,3.94,1.0,false,false
8,5/11/24 8:28 AM,Plain Cornetto,,Cornetti/Bombolone,FOOD,12.06,4.0,false,false
7,5/11/24 8:24 AM,Hot chocolate,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
7,5/11/24 8:24 AM,Frittata,,Colazione - Breakfast,FOOD,8.35,1.0,false,false
7,5/11/24 8:24 AM,Piadina Ham & Cheese,,Panini,FOOD,6.96,1.0,true,false
7,5/11/24 8:24 AM,cornetto salato and greens,,Colazione - Breakfast,FOOD,8.35,1.0,false,false
7,5/11/24 8:24 AM,Crostone Avocado,,Colazione - Breakfast,FOOD,10.20,1.0,false,false
9,5/11/24 8:29 AM,Americano,,Espresso Bar,BEVERAGES,4.00,1.0,false,false
9,5/11/24 8:29 AM,Loaf Cake\cinnamon roll,,Cornetti/Bombolone,FOOD,3.94,1.0,false,false
10,5/11/24 8:34 AM,Espresso Macchiato,,Espresso Bar,BEVERAGES,3.25,1.0,false,false
10,5/11/24 8:34 AM,Espresso Quarta,,Espresso Bar,BEVERAGES,3.00,1.0,false,false
10,5/11/24 8:34 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,false
10,5/11/24 8:34 AM,chocolate cornetto,,Cornetti/Bombolone,FOOD,3.48,1.0,false,false
10,5/11/24 8:34 AM,Pistacchio cornetto,,Cornetti/Bombolone,FOOD,3.48,1.0,false,false
11,5/11/24 8:35 AM,Nutella cornetto,,Cornetti/Bombolone,FOOD,6.96,2.0,false,false
11,5/11/24 8:35 AM,Plain Cornetto,,Cornetti/Bombolone,FOOD,3.02,1.0,false,false
12,5/11/24 8:38 AM,Americano,,Espresso Bar,BEVERAGES,0.00,1.0,false,false
7,5/11/24 8:24 AM,Crostone Avocado,,Colazione - Breakfast,FOOD,12.06,1.0,false,false
10,5/11/24 8:34 AM,Fruit Juice bottle,,Non-Alcoholic,BEVERAGES,3.25,1.0,false,false
10,5/11/24 8:34 AM,Fruit Juice bottle,,Non-Alcoholic,BEVERAGES,3.25,1.0,false,false
3,5/11/24 8:07 AM,Sfogliatella napoletana,,Cornetti/Bombolone,FOOD,3.48,1.0,false,false
3,5/11/24 8:07 AM,Americano,,Espresso Bar,BEVERAGES,4.00,1.0,false,false
3,5/11/24 8:07 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
