Order #,Order Date,Menu Item,Menu Subgroup(s),Menu Group,Menu,Net Price,Qty,Void?,Deferred
1,5/1/24 8:02 AM,Hot chocolate,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
2,5/1/24 8:04 AM,Mokaccino,,Espresso Bar,BEVERAGES,4.00,1.0,false,false
2,5/1/24 8:04 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
2,5/1/24 8:04 AM,Espresso con panna,,Espresso Bar,BEVERAGES,3.50,1.0,false,false
3,5/1/24 8:05 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
3,5/1/24 8:05 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
4,5/1/24 8:05 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
6,5/1/24 8:09 AM,Espresso doppio macchiato,,Espresso Bar,BEVERAGES,1.88,1.0,false,false
6,5/1/24 8:09 AM,Espresso doppio macchiato,,Espresso Bar,BEVERAGES,1.87,1.0,false,false
6,5/1/24 8:09 AM,Americano,,Espresso Bar,BEVERAGES,2.00,1.0,false,false
5,5/1/24 8:05 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
7,5/1/24 8:10 AM,Americano,,Espresso Bar,BEVERAGES,4.00,1.0,false,false
7,5/1/24 8:10 AM,Multigrain Cornetto,,Cornetti/Bombolone,FOOD,3.02,1.0,false,false
8,5/1/24 8:11 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,false
2,5/1/24 8:04 AM,Crostone Avocado,,Colazione - Breakfast,FOOD,10.20,1.0,false,false
2,5/1/24 8:04 AM,Piadina Crudo,,Colazione - Breakfast,FOOD,8.35,1.0,false,false
1,5/1/24 8:02 AM,Piadina Crudo,,Panini,FOOD,8.35,1.0,false,false
1,5/1/24 8:02 AM,Crostone Avocado,,Colazione - Breakfast,FOOD,10.20,1.0,false,false
1,5/1/24 8:02 AM,Americano,,Espresso Bar,BEVERAGES,4.50,1.0,false,false
9,5/1/24 8:14 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
10,5/1/24 8:16 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,5.50,1.0,false,false
10,5/1/24 8:16 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,6.00,1.0,false,false
10,5/1/24 8:16 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,false
11,5/1/24 8:23 AM,SINGLE SERVING glass coppa,,BAKERY DISPLAY,RETAIL,8.50,1.0,false,false
11,5/1/24 8:23 AM,SINGLE SERVING glass coppa,,BAKERY DISPLAY,RETAIL,8.50,1.0,false,false
11,5/1/24 8:23 AM,SINGLE SERVING glass coppa,,BAKERY DISPLAY,RETAIL,8.50,1.0,false,false
11,5/1/24 8:23 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,false
11,5/1/24 8:23 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,5.25,1.0,false,false
12,5/1/24 8:27 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,5.00,1.0,false,false
3,5/1/24 8:05 AM,VA PENSIERO,,Panini,FOOD,11.13,1.0,false,false
3,5/1/24 8:05 AM,Loaf Cake\cinnamon roll,,Cornetti/Bombolone,FOOD,3.94,1.0,false,false
3,5/1/24 8:05 AM,Plain Cornetto,,Cornetti/Bombolone,FOOD,3.02,1.0,false,false
2,5/1/24 8:04 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,false
4,5/1/24 8:05 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,false
13,5/1/24 8:31 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
13,5/1/24 8:31 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
13,5/1/24 8:31 AM,L'ITALIANO,,Panini,FOOD,9.28,1.0,false,false
14,5/1/24 8:34 AM,Piadina Ham & Cheese,,Colazione - Breakfast,FOOD,6.96,1.0,false,false
14,5/1/24 8:34 AM,Roasted Potatoes,,Colazione - Breakfast,FOOD,4.17,1.0,false,false
14,5/1/24 8:34 AM,Mokaccino,,Espresso Bar,BEVERAGES,3.75,1.0,false,false
14,5/1/24 8:34 AM,Espresso Macchiato,,Espresso Bar,BEVERAGES,3.25,1.0,false,false
14,5/1/24 8:34 AM,Nutella cornetto,,Cornetti/Bombolone,FOOD,3.48,1.0,false,false
15,5/1/24 8:34 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,5.00,1.0,false,false
15,5/1/24 8:34 AM,Nutella cornetto,,Cornetti/Bombolone,FOOD,3.48,1.0,false,false
16,5/1/24 8:36 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,4.50,1.0,false,false
17,5/1/24 8:40 AM,Mokaccino Ferrero Rocher,,Espresso Bar,BEVERAGES,5.50,1.0,false,false
17,5/1/24 8:40 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,false
