Order #,Order Date,Menu Item,Menu Subgroup(s),Menu Group,Menu,Net Price,Qty,Void?,Deferred
1,5/17/24 8:04 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
3,5/17/24 8:05 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
3,5/17/24 8:05 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
2,5/17/24 8:05 AM,Espresso Quarta,,Espresso Bar,BEVERAGES,3.00,1.0,false,false
2,5/17/24 8:05 AM,Sfogliatella napoletana,,Cornetti/Bombolone,FOOD,3.48,1.0,false,false
4,5/17/24 8:07 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.75,1.0,false,false
5,5/17/24 8:09 AM,Frittata,,Colazione - Breakfast,FOOD,8.35,1.0,false,false
5,5/17/24 8:09 AM,Frittata,,Colazione - Breakfast,FOOD,25.05,3.0,false,false
5,5/17/24 8:09 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,false
5,5/17/24 8:09 AM,Nutella cornetto,,Cornetti/Bombolone,FOOD,3.48,1.0,false,false
5,5/17/24 8:09 AM,Plain Cornetto,,Cornetti/Bombolone,FOOD,3.02,1.0,false,false
5,5/17/24 8:09 AM,Piadina Ham & Cheese,,Panini,FOOD,20.87,3.0,false,false
6,5/17/24 8:10 AM,Americano,,Espresso Bar,BEVERAGES,4.50,1.0,false,false
6,5/17/24 8:10 AM,Ham and Cheese,,Cornetti/Bombolone,FOOD,38.96,6.0,false,false
6,5/17/24 8:10 AM,Kinder Country Cereal\bar,,MARKET,RETAIL,1.25,1.0,false,false
8,5/17/24 8:12 AM,Americano,,Espresso Bar,BEVERAGES,4.00,1.0,false,false
1,5/17/24 8:04 AM,Espresso Quarta,,Espresso Bar,BEVERAGES,3.00,1.0,false,false
1,5/17/24 8:04 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
1,5/17/24 8:04 AM,treccia choc/cinnamon roll,,Cornetti/Bombolone,FOOD,3.94,1.0,false,false
1,5/17/24 8:04 AM,Nutella cornetto,,Cornetti/Bombolone,FOOD,3.48,1.0,false,false
8,5/17/24 8:12 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
9,5/17/24 8:21 AM,Espresso doppio macchiato,,Espresso Bar,BEVERAGES,15.00,4.0,false,false
7,5/17/24 8:11 AM,Americano,,Espresso Bar,BEVERAGES,5.00,1.0,false,false
7,5/17/24 8:11 AM,Ham and Cheese,,Cornetti/Bombolone,FOOD,6.50,1.0,false,false
9,5/17/24 8:21 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.75,1.0,false,false
9,5/17/24 8:21 AM,Mokaccino,,Espresso Bar,BEVERAGES,4.50,1.0,false,false
9,5/17/24 8:21 AM,Ham and Cheese,,Cornetti/Bombolone,FOOD,6.50,1.0,false,false
9,5/17/24 8:21 AM,chocolate cornetto,,Cornetti/Bombolone,FOOD,3.48,1.0,false,false
3,5/17/24 8:05 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
11,5/17/24 8:36 AM,Espresso doppio-double espresso,,Espresso Bar,BEVERAGES,3.50,1.0,false,false
11,5/17/24 8:36 AM,Americano,,Espresso Bar,BEVERAGES,4.50,1.0,false,false
12,5/17/24 8:38 AM,Americano,,Espresso Bar,BEVERAGES,4.50,1.0,false,false
12,5/17/24 8:38 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,4.75,1.0,false,false
12,5/17/24 8:38 AM,Piadina Ham & Cheese,,Panini,FOOD,6.96,1.0,false,false
12,5/17/24 8:38 AM,Piadina Ham & Cheese,,Panini,FOOD,6.96,1.0,false,false
12,5/17/24 8:38 AM,Nutella cornetto,,Cornetti/Bombolone,FOOD,3.48,1.0,false,false
8,5/17/24 8:12 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
13,5/17/24 8:39 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,5.00,1.0,false,false
13,5/17/24 8:39 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,false
15,5/17/24 8:41 AM,treccia choc/cinnamon roll,,Cornetti/Bombolone,FOOD,3.94,1.0,false,false
14,5/17/24 8:41 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
14,5/17/24 8:41 AM,Ham and Cheese,,Cornetti/Bombolone,FOOD,6.50,1.0,false,false
16,5/17/24 8:46 AM,Mokaccino,,Espresso Bar,BEVERAGES,4.50,1.0,false,false
3,5/17/24 8:05 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
3,5/17/24 8:05 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
3,5/17/24 8:05 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
17,5/17/24 8:47 AM,Plain Cornetto,,Cornetti/Bombolone,FOOD,3.02,1.0,false,false
17,5/17/24 8:47 AM,Plain Cornetto,,Cornetti/Bombolone,FOOD,3.02,1.0,false,false
17,5/17/24 8:47 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,false
17,5/17/24 8:47 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,5.00,1.0,false,false
11,5/17/24 8:36 AM,Crostone Avocado,,Colazione - Breakfast,FOOD,8.35,1.0,false,false
11,5/17/24 8:36 AM,Roasted Potatoes,,Panini,FOOD,4.17,1.0,false,false
19,5/17/24 8:59 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
19,5/17/24 8:59 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,false
19,5/17/24 8:59 AM,chocolate cornetto,,Cornetti/Bombolone,FOOD,3.48,1.0,false,false
19,5/17/24 8:59 AM,Sfogliatella napoletana,,Cornetti/Bombolone,FOOD,3.48,1.0,false,false
3,5/17/24 8:05 AM,Frittata,,Colazione - Breakfast,FOOD,8.35,1.0,false,false
