Order #,Order Date,Menu Item,Menu Subgroup(s),Menu Group,Menu,Net Price,Qty,Void?,Deferred
54,4/7/2024 10:45,Vellutata,,Aperitivo - Dinner,FOOD,20.41,1,FALSE,FALSE
61,4/7/2024 11:06,Vellutata,,Aperitivo - Dinner,FOOD,12.98,1,FALSE,FALSE
89,4/7/2024 12:07,Tuscan Ribollita,,Aperitivo - Dinner,FOOD,18.55,1,FALSE,FALSE
89,4/7/2024 12:07,Vellutata,,Aperitivo - Dinner,FOOD,16.7,1,FALSE,FALSE
95,4/7/2024 12:16,Caprese VV,,Aperitivo - Dinner,FOOD,18.55,1,FALSE,FALSE
112,4/7/2024 12:50,Lasagna,,Aperitivo - Dinner,FOOD,18.55,1,FALSE,FALSE
122,4/7/2024 13:13,Caprese VV,,Aperitivo - Dinner,FOOD,18.55,1,FALSE,FALSE
125,4/7/2024 13:21,Bolognese,,Aperitivo - Dinner,FOOD,18.55,1,FALSE,FALSE
127,4/7/2024 13:27,Zuppa al Pomodoro,,Aperitivo - Dinner,FOOD,11.13,1,FALSE,FALSE
18,4/7/2024 9:15,Strudel apple,,BAKERY DISPLAY,RETAIL,5.5,1,FALSE,FALSE
8,4/7/2024 8:48,PROFITTEROLES,,BAKERY DISPLAY,RETAIL,6.5,1,FALSE,FALSE
8,4/7/2024 8:48,TIRAMISU,,BAKERY DISPLAY,RETAIL,6.5,1,FALSE,FALSE
29,4/7/2024 9:42,Single serving desserts,,BAKERY DISPLAY,RETAIL,6.5,1,FALSE,FALSE
29,4/7/2024 9:42,CANNOLO SICILIANO,,BAKERY DISPLAY,RETAIL,8,2,FALSE,FALSE
40,4/7/2024 10:12,SLICE CAKE,,BAKERY DISPLAY,RETAIL,6.5,1,FALSE,FALSE
40,4/7/2024 10:12,SLICE CAKE,,BAKERY DISPLAY,RETAIL,6.5,1,FALSE,FALSE
41,4/7/2024 10:13,SINGLE SERVING glass coppa,,BAKERY DISPLAY,RETAIL,9.01,2,FALSE,FALSE
37,4/7/2024 10:10,SLICE CROSTATA,,BAKERY DISPLAY,RETAIL,6,1,FALSE,FALSE
37,4/7/2024 10:10,Strudel apple,,BAKERY DISPLAY,RETAIL,5.5,1,FALSE,FALSE
58,4/7/2024 10:51,SLICE CROSTATA,,BAKERY DISPLAY,RETAIL,6,1,FALSE,FALSE
60,4/7/2024 10:58,TIRAMISU,,BAKERY DISPLAY,RETAIL,6.5,1,FALSE,FALSE
42,4/7/2024 10:13,Occhio di bue/custard Cookie,,BAKERY DISPLAY,RETAIL,3.5,1,FALSE,FALSE
42,4/7/2024 10:13,TIRAMISU,,BAKERY DISPLAY,RETAIL,6.5,1,FALSE,FALSE
42,4/7/2024 10:13,PROFITTEROLES,,BAKERY DISPLAY,RETAIL,6.5,1,FALSE,FALSE
64,4/7/2024 11:12,BABA,,BAKERY DISPLAY,RETAIL,6.5,1,FALSE,FALSE
