Order Date,Menu Item,Menu Subgroup(s),Menu Group,Menu,Net Price,Qty,Void?,Gross Price,Discount
5/30/24 7:53 AM,Espresso Shakerato,,Espresso Bar,BEVERAGES,3.75,1.0,false,3.75,0.00
5/30/24 8:01 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,5.00,1.0,false,5.00,0.00
5/30/24 8:01 AM,Mokaccino,,Espresso Bar,BEVERAGES,3.50,1.0,false,3.50,0.00
5/30/24 8:05 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,4.75,1.0,false,4.75,0.00
5/30/24 8:05 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,4.17,0.00
5/30/24 8:05 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,4.17,0.00
5/30/24 8:10 AM,Americano,,Espresso Bar,BEVERAGES,4.00,1.0,false,4.00,0.00
5/30/24 8:10 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,4.25,0.00
5/30/24 8:10 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,4.17,0.00
5/30/24 8:10 AM,Piadina Ham & Cheese,,Colazione - Breakfast,FOOD,6.96,1.0,false,6.96,0.00
5/30/24 8:13 AM,Espresso doppio macchiato,,Espresso Bar,BEVERAGES,3.75,1.0,false,3.75,0.00
5/30/24 8:13 AM,Mokaccino,,Espresso Bar,BEVERAGES,3.50,1.0,false,3.50,0.00
5/30/24 8:13 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.75,1.0,false,4.75,0.00
5/30/24 8:13 AM,Ham and Cheese,,Cornetti/Bombolone,FOOD,6.50,1.0,false,6.50,0.00
5/30/24 8:13 AM,treccia conchiglia choc/cinnamon roll,,Cornetti/Bombolone,FOOD,3.94,1.0,false,3.94,0.00
5/30/24 8:13 AM,marble cake/ mini tiramisu,,BAKERY DISPLAY,RETAIL,3.50,1.0,false,3.50,0.00
5/30/24 8:13 AM,marble cake/ mini tiramisu,,BAKERY DISPLAY,RETAIL,3.50,1.0,false,3.50,0.00
5/30/24 8:13 AM,Cappuccino Pistacchio,,Espresso Bar,BEVERAGES,6.00,1.0,false,6.00,0.00
5/30/24 8:22 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.25,1.0,false,4.25,0.00
5/30/24 8:22 AM,chocolate cornetto,,Cornetti/Bombolone,FOOD,3.48,1.0,false,3.48,0.00
5/30/24 8:22 AM,Cappuccino,,Espresso Bar,BEVERAGES,4.75,1.0,false,4.75,0.00
5/30/24 8:22 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,4.17,0.00
5/30/24 8:23 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,4.50,1.0,false,4.50,0.00
5/30/24 8:23 AM,Sfogliatella napoletana,,Cornetti/Bombolone,FOOD,3.48,1.0,false,3.48,0.00
5/30/24 8:37 AM,Latte Macchiato,,Espresso Bar,BEVERAGES,5.00,1.0,false,5.00,0.00
5/30/24 8:37 AM,Saccottino Choc/ Danish,,Cornetti/Bombolone,FOOD,4.17,1.0,false,4.17,0.00
