Order #,Order Date,Menu Item,Menu Subgroup(s),Menu Group,Menu,Net Price,Qty,Void?,Deferred
37,4/3/2024 11:51,Bolognese,,Aperitivo - Dinner,FOOD,18.55,1,FALSE,FALSE
67,4/3/2024 13:35,Bolognese,,Aperitivo - Dinner,FOOD,0,2,FALSE,FALSE
7,4/3/2024 8:47,Single serving desserts,,BAKERY DISPLAY,RETAIL,13,2,FALSE,FALSE
7,4/3/2024 8:47,RELIGIEUSE/ECLAIR/ROLL,,BAKERY DISPLAY,RETAIL,3.5,1,FALSE,FALSE
11,4/3/2024 9:34,PROFITTEROLES,,BAKERY DISPLAY,RETAIL,6.5,1,FALSE,FALSE
23,4/3/2024 11:07,SINGLE SERVING glass coppa,,BAKERY DISPLAY,RETAIL,8.5,1,FALSE,FALSE
34,4/3/2024 11:39,SINGLE SERVING glass coppa,,BAKERY DISPLAY,RETAIL,8.5,1,FALSE,FALSE
39,4/3/2024 11:52,SINGLE SERVING glass coppa,,BAKERY DISPLAY,RETAIL,4.25,0.5,FALSE,FALSE
55,4/3/2024 12:45,Single serving desserts,,BAKERY DISPLAY,RETAIL,6.5,1,FALSE,FALSE
39,4/3/2024 11:52,SINGLE SERVING glass coppa,,BAKERY DISPLAY,RETAIL,4.25,0.5,FALSE,FALSE
42,4/3/2024 12:14,SINGLE SERVING glass coppa,,BAKERY DISPLAY,RETAIL,8.5,1,FALSE,FALSE
42,4/3/2024 12:14,SINGLE SERVING glass coppa,,BAKERY DISPLAY,RETAIL,8.5,1,FALSE,FALSE
42,4/3/2024 12:14,Single serving desserts,,BAKERY DISPLAY,RETAIL,6.5,1,FALSE,FALSE
42,4/3/2024 12:14,SINGLE SERVING glass coppa,,BAKERY DISPLAY,RETAIL,8.5,1,FALSE,FALSE
62,4/3/2024 13:06,Lemon Vanilla/Zeppole/mimosa cake,,BAKERY DISPLAY,RETAIL,7.37,1,FALSE,FALSE
62,4/3/2024 13:06,Lemon Vanilla/Zeppole/mimosa cake,,BAKERY DISPLAY,RETAIL,7.36,1,FALSE,FALSE
62,4/3/2024 13:06,Lemon Vanilla/Zeppole/mimosa cake,,BAKERY DISPLAY,RETAIL,7.37,1,FALSE,FALSE
